Review_Body,NaiveBayes_UWBR_predictions,NaiveBayes_UWBR_probabilities,roberta_UWBR_predictions,roberta_UWBR_probabilities,electra_UWBR_predictions,electra_UWBR_probabilities,skolkovo_UWBR_predictions,skolkovo_UWBR_probabilities,Date,Helper column,Quarter,Quarter Portion
"It's not hard class, but don't expect the 4.0. She isn't clear about what is expected and the syllabus changed multiple times over the quarter. You can tell she doesn't take business students seriously and makes you feel awkward about your responses which really discourages participation.",0,0.985273285,0,0.538291097,0,0.498939991,0,0.993496418,3/8/2015,67,Winter,Quarter End
"Syllabus was clear on what the daily homework was, which was a huge help for the quarter! Would recommend uploading her powerpoint presentations before her class to stay keep up with lectures; what she says verbally shows up on the midterms! Also reading the textbook helped!! Overall, good professor but her lectures are a bore.",1,0.971229809,0,0.538290977,0,0.502304316,0,0.991226852,2/21/2016,52,Winter,Midterm
"Bridge is the coolest prof I've ever had. His joy and passion of the subjects he teaches is next level. He's always telling stories that relate to the subject in interesting ways. Easy grader and really cares that the students fully understand, and succeed in his course. Clear and fair expectations, do the homeworks and you'll excel on the exams.",0,0.992954966,0,0.538291752,0,0.498940289,0,0.993092418,11/20/2023,324,Autumn,Midterm
Bridge makes it abundantly clear what you need to know to get a good grade. If you listen to him and take notes you can do well in any of his classes. He is forgiving and understanding so long as you make the effort. If you don't show up... good luck. The most fair professor I have ever had. Hell of a person and tells the best stories!,0,0.988809167,0,0.538290739,0,0.505850315,1,0.968941033,8/22/2020,235,Summer,Quarter End
One of the best professors I have ever had. Truly cares about his students.,1,0.960008859,0,0.538288832,0,0.501529992,0,0.992987335,4/22/2020,113,Spring,Quarter Beginning
"A true teacher. His passion for the material and desire to share it with students is infectious. Very knowledgeable, has years of industry experience and amazing stories. Most respected professor I have had.",0,0.991141079,0,0.538291812,0,0.498495936,0,0.993160725,4/22/2020,113,Spring,Quarter Beginning
"Awesome teacher! Print out his pre-made class guide and take notes on those. He always points out the necessary equations and does at least one practice problem with the class so you can look at it during hw. Do the hw and the tests are straightforward from there. However, no online notes so attendance is needed.",0,0.993677977,0,0.538290441,0,0.499729067,0,0.993558586,5/19/2019,139,Spring,Quarter End
"Very long and boring lectures which cover little new material, but a bit more in depth coverage of material from 5 course prerequisites.  DETAILS are key.  Get the textbook from India for $30, it's low quality and the homework problems may be a bit different, but all you really need are the tables.",0,0.988380596,0,0.538290799,0,0.500110328,0,0.992726803,3/24/2015,83,Winter,Quarter End
"I like him. He gets a bit distracted talking about his past experiences but you'll end up with funny stories. Tests are pretty straightforward and open book, and lectures are pretty clear.",0,0.984750574,0,0.538291216,0,0.499761939,0,0.993011892,3/21/2015,80,Winter,Quarter End
"Laid back guy, cracks jokes and is helpful all the time",1,0.946220992,0,0.538297951,0,0.51284802,0,0.979520321,2/23/2015,54,Winter,Quarter End
"He is very clear with his expectations & his grading scale which is nice. However there always seems to be something on the exam that was barely covered or unexpected. A pretty harsh grader, docks you 10 pts for seemingly innocent mistakes. My advice is to visit him in office hours (very helpful there) a lot. Takes a while to get him but he's fun.",0,0.99422973,0,0.538290799,0,0.500807345,0,0.993362665,3/23/2017,82,Winter,Quarter End
"I've had three classes with him 315: The class is poorly structured and exams don't correlate well with material, but its not entirely his fault because the ME program lacks some areas of knowledge which he tries to squeeze into this course 343: Difficult material and lectures but he does a solid job 223: Fantastic dynamics teacher",0,0.991365656,0,0.538298011,0,0.499325126,0,0.993426085,1/6/2017,6,Winter,Quarter Beginning
"His grading can be rather harsh, but given the set up of the class you should be OK. We were given weekly quizzes (problems straight off of the HW) and those quizzes combined ended up equaling more than the one midterm he gave.   Do ample practice problems from the actual textbook and the optional textbook and you'll be just fine. Go to lecture.",1,0.948707832,0,0.538291454,0,0.500033498,0,0.993383944,6/14/2016,166,Spring,Quarter End
"Hilarious due to the extreme disconnect between material instructed and major grading assignments.  Didn't really expect a 3d design, modelling, and analysis class to focus so much on design and modelling, yet grade so heavily on Technical Writing, and Linear Algebra.  A complete lack of textbook for the class also served little help.",0,0.990740252,0,0.538290143,0,0.499153614,0,0.993412316,3/24/2015,83,Winter,Quarter End
"I like him as a person, but he has no idea what he is doing in class. I understand that the ME program is new, but this class as a whole is pointless. The class is called '3D modeling' but tests have nothing to do with actual modeling. The entire class was still working on the final at the end of the 2nd hour.",0,0.988994196,0,0.538290679,0,0.501221359,0,0.984046519,3/21/2015,80,Winter,Quarter End
THE BEST TEACHER I WILL definitely take this class again,1,0.96458132,0,0.538289785,0,0.500235677,0,0.991823852,3/6/2019,65,Winter,Quarter End
"Professor Oh seems like a great guy, but I have not enjoyed his class. It's very lecture heavy with limited/no slides, which can be really hard to follow. He frequently asks questions of the class where no one is clear what he's asking for -- after 5 or 6 attempts he'll finally tell us the ""answer"", which isn't what he asked for at all...",0,0.992037497,0,0.538291514,0,0.498684883,0,0.993188381,2/23/2019,54,Winter,Quarter End
"This is not at easy class. But Dr. Oh is a really good teacher. He is a very easy grader when it comes to homework, make sure you study hard on the midterm and final. Hes a really nice, laid back and funny guy. Only problem Ive had was he speaks with a REALLY thick Korean accent and sometimes it might be hard to understand what hes saying.",1,0.971228964,0,0.538290024,0,0.501313686,0,0.98715198,5/16/2018,136,Spring,Midterm
