Review_Body,NaiveBayes_UWBR_predictions,NaiveBayes_UWBR_probabilities,roberta_UWBR_predictions,roberta_UWBR_probabilities,electra_UWBR_predictions,electra_UWBR_probabilities,skolkovo_UWBR_predictions,skolkovo_UWBR_probabilities
"It's not hard class, but don't expect the 4.0. She isn't clear about what is expected and the syllabus changed multiple times over the quarter. You can tell she doesn't take business students seriously and makes you feel awkward about your responses which really discourages participation.",0.0,0.9852732847862548,0.0,0.5382910966873169,0.0,0.49893999099731445,0.0,0.9934964179992676
"Syllabus was clear on what the daily homework was, which was a huge help for the quarter! Would recommend uploading her powerpoint presentations before her class to stay keep up with lectures; what she says verbally shows up on the midterms! Also reading the textbook helped!! Overall, good professor but her lectures are a bore.",1.0,0.9712298090069792,0.0,0.5382909774780273,0.0,0.5023043155670166,0.0,0.991226851940155
"Bridge is the coolest prof I've ever had. His joy and passion of the subjects he teaches is next level. He's always telling stories that relate to the subject in interesting ways. Easy grader and really cares that the students fully understand, and succeed in his course. Clear and fair expectations, do the homeworks and you'll excel on the exams.",0.0,0.9929549655631398,0.0,0.5382917523384094,0.0,0.49894028902053833,0.0,0.99309241771698
Bridge makes it abundantly clear what you need to know to get a good grade. If you listen to him and take notes you can do well in any of his classes. He is forgiving and understanding so long as you make the effort. If you don't show up... good luck. The most fair professor I have ever had. Hell of a person and tells the best stories!,0.0,0.9888091665757798,0.0,0.5382907390594482,0.0,0.5058503150939941,1.0,0.9689410328865051
One of the best professors I have ever had. Truly cares about his students.,1.0,0.9600088586204056,0.0,0.5382888317108154,0.0,0.5015299916267395,0.0,0.992987334728241
"A true teacher. His passion for the material and desire to share it with students is infectious. Very knowledgeable, has years of industry experience and amazing stories. Most respected professor I have had.",0.0,0.9911410789926322,0.0,0.5382918119430542,0.0,0.4984959363937378,0.0,0.9931607246398926
"Awesome teacher! Print out his pre-made class guide and take notes on those. He always points out the necessary equations and does at least one practice problem with the class so you can look at it during hw. Do the hw and the tests are straightforward from there. However, no online notes so attendance is needed.",0.0,0.9936779772159756,0.0,0.5382904410362244,0.0,0.49972906708717346,0.0,0.9935585856437683
"Very long and boring lectures which cover little new material, but a bit more in depth coverage of material from 5 course prerequisites.  DETAILS are key.  Get the textbook from India for $30, it's low quality and the homework problems may be a bit different, but all you really need are the tables.",0.0,0.9883805962183172,0.0,0.538290798664093,0.0,0.5001103281974792,0.0,0.9927268028259277
"I like him. He gets a bit distracted talking about his past experiences but you'll end up with funny stories. Tests are pretty straightforward and open book, and lectures are pretty clear.",0.0,0.9847505736346612,0.0,0.5382912158966064,0.0,0.4997619390487671,0.0,0.9930118918418884
"Laid back guy, cracks jokes and is helpful all the time",1.0,0.9462209918829884,0.0,0.5382979512214661,0.0,0.5128480195999146,0.0,0.979520320892334
