web-scraper-order,web-scraper-start-url,more-button,professor link,professor link-href,Review-Body,Date,Course-Name,For-Credit,Attendance,Take-Again,Grade,Textbook,Quality,Difficulty,more-ratings
"1714778254-1","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY2.01 ratingsLorraine YuBusinessUniversity of WashingtonN/A would take again 2 level of difficulty","https://www.ratemyprofessors.com/professor/1983885","It's not hard class, but don't expect the 4.0. She isn't clear about what is expected and the syllabus changed multiple times over the quarter. You can tell she doesn't take business students seriously and makes you feel awkward about your responses which really discourages participation.","Mar 8th, 2015","BUS340","For Credit: Yes","Textbook: Yes","","","","Quality2.0","2.0",""
"1714778261-2","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY2.51 ratingsKarrin KlotzLawUniversity of WashingtonN/A would take again 3 level of difficulty","https://www.ratemyprofessors.com/professor/1983331","Syllabus was clear on what the daily homework was, which was a huge help for the quarter! Would recommend uploading her powerpoint presentations before her class to stay keep up with lectures; what she says verbally shows up on the midterms! Also reading the textbook helped!! Overall, good professor but her lectures are a bore.","Feb 21st, 2016","BCUSP202","For Credit: Yes","Textbook: Yes","","","","Quality2.5","3.0",""
"1714778284-3","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.87 ratingsJohn BridgeEngineeringUniversity of Washington100% would take again 2.8 level of difficulty","https://www.ratemyprofessors.com/professor/1982137","Bridge is the coolest prof I've ever had. His joy and passion of the subjects he teaches is next level. He's always telling stories that relate to the subject in interesting ways. Easy grader and really cares that the students fully understand, and succeed in his course. Clear and fair expectations, do the homeworks and you'll excel on the exams.","Nov 20th, 2023","BME221","For Credit: Yes","Attendance: Not Mandatory","Would Take Again: Yes","Would Take Again: Yes","Textbook: Yes","Quality5.0","2.0",""
"1714778284-4","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.87 ratingsJohn BridgeEngineeringUniversity of Washington100% would take again 2.8 level of difficulty","https://www.ratemyprofessors.com/professor/1982137","Bridge makes it abundantly clear what you need to know to get a good grade. If you listen to him and take notes you can do well in any of his classes. He is forgiving and understanding so long as you make the effort. If you don't show up... good luck. The most fair professor I have ever had. Hell of a person and tells the best stories!","Aug 22nd, 2020","ME341","For Credit: Yes","Attendance: Not Mandatory","Would Take Again: Yes","Would Take Again: Yes","Textbook: Yes","Quality5.0","3.0",""
"1714778284-5","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.87 ratingsJohn BridgeEngineeringUniversity of Washington100% would take again 2.8 level of difficulty","https://www.ratemyprofessors.com/professor/1982137","One of the best professors I have ever had. Truly cares about his students.","Apr 22nd, 2020","BENGR321","For Credit: Yes","Attendance: Mandatory","Would Take Again: Yes","Would Take Again: Yes","Textbook: Yes","Quality5.0","3.0",""
"1714778284-6","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.87 ratingsJohn BridgeEngineeringUniversity of Washington100% would take again 2.8 level of difficulty","https://www.ratemyprofessors.com/professor/1982137","A true teacher. His passion for the material and desire to share it with students is infectious. Very knowledgeable, has years of industry experience and amazing stories. Most respected professor I have had.","Apr 22nd, 2020","BME341","For Credit: Yes","Attendance: Mandatory","Would Take Again: Yes","Would Take Again: Yes","Textbook: Yes","Quality5.0","3.0",""
"1714778284-7","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.87 ratingsJohn BridgeEngineeringUniversity of Washington100% would take again 2.8 level of difficulty","https://www.ratemyprofessors.com/professor/1982137","Awesome teacher! Print out his pre-made class guide and take notes on those. He always points out the necessary equations and does at least one practice problem with the class so you can look at it during hw. Do the hw and the tests are straightforward from there. However, no online notes so attendance is needed.","May 19th, 2019","ME222","For Credit: Yes","Attendance: Mandatory","Would Take Again: Yes","Would Take Again: Yes","Textbook: Yes","Quality5.0","3.0",""
"1714778284-8","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.87 ratingsJohn BridgeEngineeringUniversity of Washington100% would take again 2.8 level of difficulty","https://www.ratemyprofessors.com/professor/1982137","Very long and boring lectures which cover little new material, but a bit more in depth coverage of material from 5 course prerequisites.  DETAILS are key.  Get the textbook from India for $30, it's low quality and the homework problems may be a bit different, but all you really need are the tables.","Mar 24th, 2015","ME341","For Credit: Yes","Textbook: Yes","","","","Quality4.0","3.0",""
"1714778284-9","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.87 ratingsJohn BridgeEngineeringUniversity of Washington100% would take again 2.8 level of difficulty","https://www.ratemyprofessors.com/professor/1982137","I like him. He gets a bit distracted talking about his past experiences but you'll end up with funny stories. Tests are pretty straightforward and open book, and lectures are pretty clear.","Mar 21st, 2015","341","For Credit: Yes","Textbook: Yes","","","","Quality4.5","3.0",""
"1714778284-10","https://www.ratemyprofessors.com/search/professors/4466?q=*","","QUALITY4.87 ratingsJohn BridgeEngineeringUniversity of Washington100% would take again 2.8 level of difficulty","https://www.ratemyprofessors.com/professor/1982137","Laid back guy, cracks jokes and is helpful all the time","Feb 23rd, 2015","BME221","For Credit: Yes","Textbook: Yes","","","","Quality5.0","2.0",""
